case,requested_overlap_ratio,actual_overlap_ratio,trim_fraction,fraction_to_overlap_ratio,scan_points,overlap_points,correspondences_used,angle_deg,translation_scale,median_point_spacing,normalized_final_objective_rmse,normalized_final_all_nearest_neighbor_rmse,normalized_overlap_correspondence_rmse,rotation_error_deg,normalized_translation_error,retained_source_overlap_ratio,overlap_source_retention,correct_match_precision,correct_match_recall,normalized_median_retained_residual,normalized_median_rejected_residual,iterations,converged,recovered
case_02,0.8,0.8,1.0,1.25,5000,4000,5000,2.0,0.5,0.10703391976845436,4.656611293307766,4.656611293307766,37.779809462108965,0.6046352043603713,37.7725185756406,0.8,1.0,0.0,0.0,4.55312393327698,,80,False,False
case_03,0.6,0.6000933271115259,0.4,0.6665629860031105,4286,2572,1715,2.0,0.5,0.10703391976845436,1.885472382369582e-14,25.371271235495236,4.589409983341622e-14,0.0,7.304500357125227e-15,1.0,0.666796267496112,1.0,0.666796267496112,1.590093750203702e-14,13.731056883863511,7,True,True
case_03,0.6,0.6000933271115259,0.5,0.8332037325038881,4286,2572,2143,2.0,0.5,0.10703391976845436,3.4544666301117834e-14,25.37127123549515,4.9906775040317544e-14,3.1945284701301985e-06,3.664590791813939e-15,1.0,0.833203732503888,1.0,0.833203732503888,3.0108551504171505e-14,22.291752168457606,7,True,True
case_03,0.6,0.6000933271115259,0.6,0.9998444790046657,4286,2572,2572,2.0,0.5,0.10703391976845436,5.707304191296391e-14,25.371271235495232,5.707304191296391e-14,0.0,1.6268605154084665e-14,1.0,1.0,1.0,1.0,3.467820281210757e-14,31.75818123263156,6,True,True
case_03,0.6,0.6000933271115259,0.7,1.1664852255054432,4286,2572,3001,2.0,0.5,0.10703391976845436,1.3815419241127112,20.51322510388096,9.992530097311203,0.860639296747103,10.007899997261148,0.8570476507830723,1.0,0.0,0.0,1.0211342787747029,33.022037668064975,80,False,False
case_03,0.6,0.6000933271115259,0.8,1.333125972006221,4286,2572,3429,2.0,0.5,0.10703391976845436,2.842498494781728,14.604482099725493,23.851455910827877,4.165227553922612,23.83986413533303,0.7500729075532225,1.0,0.0,0.0,2.248859004233424,29.535813206872653,80,False,False
case_03,0.6,0.6000933271115259,0.9,1.4997667185069985,4286,2572,3858,2.0,0.5,0.10703391976845436,4.470903934663545,7.800493389096471,46.04476467014932,6.796639988955192,46.094296361866775,0.6666666666666666,1.0,0.0,0.0,3.9864630399576373,18.08898867928022,80,False,False
case_03,0.6,0.6000933271115259,1.0,1.6664074650077763,4286,2572,4286,2.0,0.5,0.10703391976845436,3.295821492960326,3.295821492960326,76.40715018129042,1.855593599982278,76.43902368592234,0.6000933271115259,1.0,0.0,0.0,2.70250414785759,,80,False,False
case_04,0.4,0.4,0.4,1.0,3750,1500,1500,2.0,0.5,0.10703391976845436,3.4215001506741346e-14,33.6160979404789,3.4215001506741346e-14,0.0,9.960527019477206e-16,1.0,1.0,1.0,1.0,1.5909249460409218e-14,30.98858373181651,6,True,True
case_04,0.4,0.4,0.5,1.25,3750,1500,1875,2.0,0.5,0.10703391976845436,0.9484831720968198,29.41480003830918,7.639195955726454,4.775863187948466,7.259741658872163,0.7829333333333334,0.9786666666666667,0.0352,0.044,0.698011057690065,31.619130918249713,80,False,False
case_04,0.4,0.4,0.6,1.4999999999999998,3750,1500,2250,2.0,0.5,0.10703391976845436,1.2252027733969306,25.092794820349695,15.119609300600912,2.3586046393216216,15.146191768549071,0.664,0.996,0.0,0.0,0.9347604893946302,33.34786083625044,80,False,False
case_04,0.4,0.4,0.7,1.7499999999999998,3750,1500,2625,2.0,0.5,0.10703391976845436,2.0023990147957753,19.490865155877838,26.393762682956332,2.8953095260137895,26.455651725850878,0.5714285714285714,1.0,0.0,0.0,1.6452408497773159,32.28894354344604,80,False,False
case_04,0.4,0.4,0.8,2.0,3750,1500,3000,2.0,0.5,0.10703391976845436,3.3571590545325,13.133780938985167,41.625958611733004,7.075885613690098,41.69435329381279,0.5,1.0,0.0,0.0,2.92586195743175,25.664346692718745,80,False,False
case_04,0.4,0.4,0.9,2.25,3750,1500,3375,2.0,0.5,0.10703391976845436,3.1836823634917346,5.214722756706757,70.17569797283485,10.269857541026392,70.34989196050788,0.4444444444444444,1.0,0.0,0.0,2.7953997191772246,10.53406788682318,80,False,False
case_04,0.4,0.4,1.0,2.5,3750,1500,3750,2.0,0.5,0.10703391976845436,2.4693909316210623,2.4693909316210623,84.80613860379849,1.485631080669109,84.84438762823655,0.4,1.0,0.0,0.0,2.168255513458083,,80,False,False
